order_num,order_type,cust_name,prod_number,prod_name,quantity,price,discount,order_total
1100934,Wholesale,Gusikowski Group,BP102,Bsquare Robot Blueprint,10,8.99,1.8,88.1
1100935,Retail,Spencer Educators,DK204,BYOD-300,2,89,0,178
1100936,Wholesale,Schinner Inc.,TV801,Aerial Security,10,36.99,7.4,362.5
1100937,Retail,Saxon Laviss,RK602,BYOR-1000,1,189,0,189
1100938,Retail,Wilderman Technologies,EB502,Building Your First Robot,4,24.95,0,99.8
1100939,Wholesale,Turcotte Corp,DS302,DC-304 Drone,79,395,79,31126
1100940,Retail,Kovacek Bernhard,TV803,Cloud Computing,1,29.99,0,29.99
1100941,Retail,Antonina Noton,DS306,DX-145 Drone,2,250,0,500
1100942,Retail,Frederik Pantecost,EB507,Drone Building Essentials,1,13.99,0,13.99
1100943,Wholesale,Hettinger and Sons,BP104,Cat Robot Blueprint,6,4.99,1,28.94
1100944,Retail,Phylis Barrabeale,TV812,Understanding Raspberry PI,1,28.99,0,28.99
1100945,Wholesale,Marvin Inc.,TV802,AI for Educators,5,49.95,9.99,239.76
1100946,Wholesale,Jacobi LLC,EB509,GPS Drones,7,19.99,4,135.93
1100947,Retail,Elton Sexon,TV811,Understanding Drone Regulations,1,27.5,0,27.5
1100948,Retail,Ewan Ladd,TV810,Understanding Automation,1,44.95,0,44.95
1100949,Retail,Justine Trengrouse,EB507,Drone Building Essentials,1,13.99,0,13.99
1100950,Retail,Cristian Iston,RK603,BYOR-1500,1,189,0,189
1100951,Wholesale,Treutel Group,DK209,BYOD-550,27,179,35.8,4797.2
1100952,Wholesale,Oberbrunner Inc.,EB521,Understanding Artificial Intelligence,5,19.5,3.9,93.6
1100953,Wholesale,Clever Industries,DK209,BYOD-550,5,179,35.8,859.2
1100954,Wholesale,Nikolaus LLC,BP106,Hexacopter Drone Blueprint,7,8.99,1.8,61.13
1100955,Wholesale,Wyman Institute,BP108,Panda Robot Blueprint,5,7.99,1.6,38.35
1100956,Retail,Iseabal Vevers,TV811,Understanding Drone Regulations,1,27.5,0,27.5
1100957,Retail,Morgan Kassman,RS707,RXW-9807 Robot,1,599,0,599
1100958,Wholesale,Bednar IT Inc.,DK201,BYOD-100,9,54,10.8,475.2
1100959,Wholesale,Johnson LLC,TV806,Mapping with Drones,12,49,9.8,578.2
1100960,Wholesale,Frami LLC,DK206,BYOD-400,92,119,23.8,10924.2
1100961,Retail,Chrystel Tozer,TV810,Understanding Automation,1,44.95,0,44.95
1100962,Wholesale,Abshire Inc.,DK204,BYOD-300,6,89,17.8,516.2
1100963,Wholesale,Stehr Group,DS301,DA-SA702 Drone,3,399,79.8,1117.2
1100964,Retail,Godfry Dancy,EB514,Polar Robots,1,23.99,0,23.99
1100965,Retail,Gwendolyn Tromp,DK204,BYOD-300,3,89,0,267
1100966,Retail,Klarrisa Dunlap,EB513,Photograph Drones,1,14.99,0,14.99
1100967,Retail,Karney Becks,BP101,All Eyes Drone Blueprint,1,9.99,0,9.99
